City,Country,Latitude,Longitude,Population
gyulagarak,am,40.9697222,44.4713889,2109
gyumri,am,40.7894444,43.8475,148383
haghartsin,am,40.7780556,44.9625,3370
hayanist,am,40.1197222,44.3775,2031
haykashen,am,40.0727778,44.3069444,1140
haykavan,am,40.7558333,43.77,1201
hnaberd,am,40.6427778,44.1444444,1817
hoktember,am,40.1361111,44.0138889,5348
horom,am,40.6541667,43.8822222,1893
hovtashat,am,40.1019444,44.3427778,3472
hovtashen,am,40.0244444,44.45,1134
hrazdan,am,40.5016667,44.7547222,40796
ijevan,am,40.8755556,45.1491667,14737
janfida,am,40.0455556,44.0208333,2986
jermuk,am,39.8416667,45.6722222,4582
jrahovit,am,40.0452778,44.4736111,1032
jrashen,am,40.7875,44.1972222,3078
jrashen,am,40.0547222,44.5133333,1696
kamaris,am,40.2358333,44.6938889,2064
kamo,am,40.8280556,43.9483333,1340
kanakeravan,am,40.2472222,44.5366667,2950
kapan,am,39.2011111,46.415,33161
kaputan,am,40.3244444,44.6938889,1252
karbi,am,40.3338889,44.3777778,3521
karchaghbyur,am,40.1638889,45.5722222,2274
kasakh,am,40.5333333,44.4166667,4247
khashtarak,am,40.9386111,45.1797222,1728
khndzoresk,am,39.5122222,46.4336111,1940
kosh,am,40.3072222,44.16,2581
lanjaghbyur,am,40.2730556,45.1444444,2097
lchashen,am,40.5202778,44.9308333,4182
lenughi,am,40.1238889,43.9652778,1499
lernakert,am,40.5669444,43.9361111,1306
lernanist,am,40.4675,44.7980556,2511
lernantsk,am,40.7955556,44.2783333,1192
lernapat,am,40.82,44.3972222,1710
lernavan,am,40.7883333,44.1844444,1517
lorut,am,40.9388889,44.7725,1101
lukashin,am,40.1758333,44.0186111,2197
madina,am,40.0802778,45.2511111,1024
maisyan,am,40.8530556,43.8294444,1521
malishka,am,39.7369444,45.3875,4174
maralik,am,40.5722222,43.8669444,4959
margahovit,am,40.7380556,44.6875,3308
margara,am,40.0336111,44.1738889,1360
marmarashen,am,40.0575,44.4711111,2946
marmashen,am,40.8375,43.7719444,1644
martuni,am,40.1447222,45.3063889,11037
masis,am,40.0138889,44.4858333,18911
mayakovski,am,40.2522222,44.6383333,1727
meghradzor,am,40.6147222,44.6522222,2659
meghrashen,am,40.6758333,43.9486111,1107
meghri,am,38.9022222,46.2383333,4540
merdzavan,am,40.1816667,44.3991667,2702
metsamor,am,40.0713889,44.2891667,8789
metsavan,am,41.2016667,44.2288889,4767
mets masrik,am,40.2186111,45.7694444,2570
mets parni,am,40.8372222,44.1091667,1934
mosesgegh,am,40.9063889,45.4913889,1964
mrganush,am,40.0286111,44.5586111,1032
mrgashat,am,40.1297222,44.0705556,4961
mrgashen,am,40.285,44.5422222,1623
mrgavan,am,39.9661111,44.5333333,1713
mrgavet,am,40.0283333,44.4827778,2131
musaler,am,40.1544444,44.3777778,2323
musayelyan,am,40.7652778,43.9908333,1499
myasnikyan,am,40.1775,43.9063889,3458
nalbandyan,am,40.0677778,43.9855556,4019
navur,am,40.8613889,45.3175,1227
nizami,am,40.0913889,44.4041667,1060
norakert,am,40.1922222,44.3466667,2485
noramarg,am,40.0236111,44.4244444,1811
nor armavir,am,40.0866667,43.99,1597
norashen,am,40.0041667,44.5947222,3049
norashen,am,41.1880556,44.3272222,1386
noratus,am,40.3822222,45.1783333,5426
nor geghi,am,40.3211111,44.5797222,4896
nor gyukh,am,40.2666667,44.6563889,1462
nor yerznka,am,40.3133333,44.4047222,1459
noyakert,am,39.8166667,44.6669444,1751
noyemberyan,am,41.1725,44.9936111,5119
nshavan,am,40.0263889,44.5252778,1916
odzun,am,41.0538889,44.6113889,4524
